Country,State,cuisine,title,URL,rating,total_time,prep_time,cook_time,description,ingredients_list,instructions,serves,rating_count,calories,carbohydrateContent,cholesterolContent,fiberContent,proteinContent,saturatedFatContent,sodiumContent,sugarContent,fatContent,ingredients,animal_der,milk_der,plant_der,diet_type
US,Missouri,Missouri,Instant Pot® BBQ Rib Tips,https://www.allrecipes.com/recipe/275243/instant-pot-bbq-rib-tips/,5.0,80.0,5.0,75.0,"To make St. Louis-style ribs quickly and with minimal effort, use rib tips, cook them first in your Instant Pot®, and then sear them on the grill.","['1 cup water', '0.5 cup apple cider vinegar', '2 pounds rib tips', '1 teaspoon kosher salt', '1 tablespoon BBQ rub', '1 cup barbeque sauce']","[""Add water and vinegar to a multi-functional pressure cooker (such as Instant Pot®). Set trivet inside. Sprinkle rib tips with salt and BBQ rub and massage to coat. Set rib tips on top of the trivet. Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 40 minutes. Allow 8 minutes for pressure to build."", ""Release pressure using the natural-release method according to manufacturer's instructions, about 10 minutes. Unlock and remove the lid."", 'Transfer rib tips to a baking dish and let cool for 5 minutes. Add barbecue sauce and stir to coat.', 'Preheat an outdoor grill for medium-high heat and lightly oil the grate.', 'Grill rib tips for 6 minutes, turning once after 3 minutes.']",4,2,497.0,24.0,120.0,1.0,29.0,11.0,1963.0,16.0,30.0,"['apple', 'vinegar', 'tips', 'sauce', 'salt', 'cider', 'kosher', 'water', 'rub', 'bbq', 'barbeque']",,,"apple, vinegar, tips, sauce, salt, cider, kosher, water, rub, bbq, barbeque",vegan
US,Missouri,Missouri,Juanita's Blackberry Dumplings,https://www.allrecipes.com/recipe/215648/juanitas-blackberry-dumplings/,4.5,65.0,20.0,45.0,"Strips of dough are cooked in a simmering blackberry sauce. A perfect recipe for summer blackberries. Delicious warm, cold, or with a scoop of vanilla ice cream.","['1 quart fresh blackberries', '2 cups white sugar, or to taste', '2 cups water', '2 tablespoons butter', '1 teaspoon cinnamon', '2 cups flour', '1 teaspoon salt', '0.25 cup shortening', '1 egg yolk', '5 tablespoons milk']","['Place blackberries, sugar, water, butter, and cinnamon in a large saucepan. Cook and stir occasionally over medium heat until have started to break down and form a sauce, about 20 to 30 minutes.', 'Meanwhile, whisk together the flour and salt in a mixing bowl. Cut in the shortening with a knife or pastry blender until the mixture resembles coarse crumbs. Stir the egg yolk into the crumbs. Add the milk a tablespoon at a time, tossing with a fork, until the flour mixture is moistened. Do not add more milk than you need: when you squeeze a handful of the moistened pastry mixture, it should form a ball. Divide the dough in half and shape into balls.', 'Roll one ball into a 1/4-inch thick round, like a pie crust. Using a floured knife cut lengthwise 2 to 3 inch wide strips of dough. Repeat with the second ball of dough.', 'Holding each strip of dough over the boiling blackberries pinch off 4-inch lengths and drop into the berries. Repeat until all the dough has been used. Cook the dumplings over medium heat for 15 minutes. You may push the dumplings down into the juice but do not stir until they are fully cooked or they will clump together.']",12,36,285.0,54.0,22.0,3.0,3.0,3.0,210.0,36.0,7.0,"['butter', 'milk', 'cinnamon', 'salt', 'yolk', 'sugar', 'water', 'egg', 'blackberries']",egg,"butter, milk","cinnamon, salt, yolk, sugar, water, blackberries",nveg
US,Missouri,Missouri,Crawfish Chowder,https://www.allrecipes.com/recipe/23572/crawfish-chowder/,4.8,45.0,20.0,25.0,"A creamy chowder consisting of green onions, corn, crawfish, cream of potato and mushroom soups, and a bit of cayenne pepper for a little kick. Serve with cornbread, or some crusty French bread.","['0.25 cup butter', '0.5 bunch green onions, chopped', '0.5 cup butter', '2 pounds frozen crawfish, cleaned', '2 (10.75 ounce) cans condensed cream of potato soup', '1 (10.75 ounce) can condensed cream of mushroom soup', '1 (15.25 ounce) can whole kernel corn, drained', '4 ounces cream cheese, softened', '2 cups half-and-half cream', '0.5 teaspoon cayenne pepper']","['Melt 1/4 cup of butter in a large skillet over medium heat. Saute green onions in butter until tender. Remove from pan, and set aside. In the same skillet, melt 1/2 cup of butter, and saute the crawfish for 5 minutes; set aside.', 'In a large pot over medium heat, combine potato soup, mushroom soup, corn, and cream cheese. Mix well, and bring to a slow boil. Stir in half-and-half, sauteed green onions, and crawfish. Season with cayenne pepper. Bring to a low boil, and simmer 5 minutes to blend flavors.']",10,296,395.0,21.0,167.0,2.0,18.0,16.0,934.0,3.0,28.0,"['mushroom', 'butter', 'cream', 'kernel', 'potato', 'soup', 'cheese', 'pepper', 'cayenne', 'corn', 'onions', 'crawfish']",,"butter, cream, cheese","mushroom, kernel, potato, soup, pepper, cayenne, corn, onions, crawfish",veg
US,Missouri,Missouri,Cashew Crusted Chicken,https://www.allrecipes.com/recipe/19132/cashew-crusted-chicken/,4.4,40.0,20.0,20.0,"Chicken breasts dipped in an apricot/mustard sauce, then rolled in chopped cashew nuts for a wonderfully tangy, crunchy and easy baked chicken dish. This recipe will satisfy anyone!","['1 (12 ounce) jar apricot preserves', '0.25 cup prepared Dijon-style mustard', '1 teaspoon curry powder', '4 skinless, boneless chicken breast halves', '1 cup coarsely chopped cashews']","['Preheat oven to 375 degrees F (190 degrees C).', 'Combine the preserves, mustard and curry powder in a large skillet and heat over low heat, stirring constantly, until preserves are completely melted and smooth.', 'Place cashews in a shallow dish or bowl. Dip chicken breasts in skillet sauce, then roll in nuts to coat and place in a lightly greased 9x13 inch baking dish.', 'Bake at 375 degrees F (190 degrees C) for 20 to 30 minutes. Boil any remaining sauce and serve on the side with the baked chicken.']",4,332,548.0,69.0,67.0,1.0,30.0,4.0,687.0,38.0,19.0,"['cashews', 'skinless', 'apricot', 'chicken', 'boneless', 'halves', 'dijonstyle', 'breast', 'jar', 'preserves', 'mustard', 'curry']",chicken,,"cashews, skinless, apricot, boneless, dijonstyle, halves, breast, jar, preserves, mustard, curry",nveg
US,Missouri,Missouri,Apple Pudding,https://www.allrecipes.com/recipe/24062/apple-pudding/,3.3,60.0,15.0,45.0,This apple pudding recipe is incredibly easy to make with tart apples and staple pantry ingredients when you need a tasty last-minute dessert.,"['6 tart apples - peeled, cored and sliced', '0.25 cup all-purpose flour', '1 cup sugar', '1 pinch salt', '2 cups milk']","['Preheat the oven to 325 degrees F (165 degrees C).', 'Toss apples with flour, sugar, and salt; place in a 9x9-inch baking dish. Pour in just enough milk to reach the top of the apples, without covering them.', 'Bake in the preheated oven for 45 minutes, or until apples are tender.']",6,24,260.0,60.0,7.0,4.0,4.0,1.0,35.0,52.0,2.0,"['milk', 'salt', 'tart', 'sugar', 'apples', 'flour']",,milk,"salt, tart, sugar, apples, flour",veg
US,Missouri,Missouri,Mom's Squash Casserole,https://www.allrecipes.com/recipe/21238/moms-squash-casserole/,4.4,80.0,20.0,60.0,"Yellow squash baked with onion, mushroom soup and Cheddar cheese, with a crouton crust.","['2 pounds yellow squash, chopped', '1 onion, chopped', '1 (10.75 ounce) can condensed cream of mushroom soup', '2 cups shredded Cheddar cheese', '2 eggs, beaten', '1.5 cups seasoned croutons']","['Preheat oven to 350 degrees F (175 degrees C).', 'Bring a large pot of salted water to a boil. Add squash and onion and cook until tender but still firm, about 15 minutes. Drain and transfer to a 2 quart casserole dish.', 'In a medium bowl combine soup, cheese and eggs. Mix well and pour into dish with squash.', 'Bake in preheated oven for 25 minutes. Remove from oven and sprinkle croutons on top. Return to oven and bake for 20 minutes more.']",6,133,304.0,19.0,102.0,3.0,15.0,10.0,711.0,6.0,20.0,"['mushroom', 'eggs', 'cream', 'croutons', 'squash', 'onion', 'soup', 'cheddar', 'cheese']",eggs,"cream, cheese, cheddar","mushroom, croutons, squash, onion, soup",nveg
US,Missouri,Missouri,Spinach Bacon Egg Casserole,https://www.allrecipes.com/recipe/241279/spinach-bacon-egg-casserole/,4.7,65.0,15.0,50.0,Spinach and bacon egg casserole is a delightful combination of colors and savory flavor and a hearty brunch or breakfast main dish.,"['0.5 pound bacon', '1 red bell pepper, chopped', '0.25 cup minced onion', '1 (10 ounce) package frozen chopped spinach, thawed and drained', '8 large eggs', '0.75 cup whole milk', '1 teaspoon garlic salt', '0.25 teaspoon ground black pepper', '0.5 cup shredded Monterey Jack cheese', '0.25 cup finely shredded Asiago cheese']","['Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking pan.', 'Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Transfer bacon to a paper towel-lined plate and drain grease from the skillet. Chop bacon; set aside.', 'Sauté bell pepper and onion in the same skillet over medium-high heat until tender, 5 to 10 minutes. Spread spinach into the bottom of the prepared baking pan; top with bacon and bell pepper mixture.', 'Beat eggs in a bowl with a fork. Add milk, garlic salt, and pepper to eggs and beat until well combined. Pour egg mixture over bacon mixture and sprinkle with Monterey Jack cheese and Asiago cheese.', 'Bake in the preheated oven until a knife inserted into the center comes out clean, 35 to 45 minutes.']",12,26,181.0,3.0,145.0,1.0,10.0,6.0,432.0,2.0,15.0,"['bell', 'eggs', 'milk', 'salt', 'onion', 'spinach', 'bacon', 'ground', 'cheese', 'asiago', 'monterey', 'pepper', 'garlic', 'jack']","eggs, bacon","cheese, milk, jack","bell, salt, onion, spinach, ground, asiago, monterey, pepper, garlic",nveg
US,Missouri,Missouri,Kansas City Steak Soup,https://www.allrecipes.com/recipe/12954/kansas-city-steak-soup/,4.5,142.0,20.0,122.0,"This iconic Kansas City steak soup is a roux-based soup made with round steak, tomatoes, carrots, and other vegetables. It freezes beautifully.","['1 cup butter', '1 cup all-purpose flour', '8 cups water', '1 (16 ounce) package frozen mixed vegetables', '1 (16 ounce) can stewed tomatoes', '1 large onion, chopped', '1 large carrot, diced', '1 stalk celery, diced', '12 cubes beef bouillon', '2 tablespoons butter', '1 pound round steak, chopped', '0.75 teaspoon ground black pepper']","['Melt 1 cup butter in a large stockpot over medium-low heat. Whisk in flour and stir until mixture becomes paste-like and light golden brown, about 5 minutes.', 'Gradually whisk in 2 cups water and bring to a simmer over medium heat. Cook and stir until mixture is thick and smooth, 10 to 15 minutes. Add remaining 6 cups water, frozen vegetables, tomatoes, onion, carrot, celery, and bouillon cubes.', 'Melt 2 tablespoons butter in a large skillet over medium heat. Add steak and brown on all sides, 3 to 5 minutes. Drain grease, then transfer steak to the stockpot. Bring to a boil, then reduce the heat and simmer, stirring occasionally, until vegetables are tender, about 1 1/2 hours. Season with pepper.']",16,105,226.0,13.0,17.0,2.0,9.0,3.0,894.0,2.0,16.0,"['butter', 'celery', 'tomatoes', 'steak', 'onion', 'bouillon', 'cubes', 'vegetables', 'carrot', 'water', 'beef', 'ground', 'round', 'flour', 'pepper']","beef, steak",butter,"celery, tomatoes, onion, bouillon, cubes, vegetables, carrot, water, ground, round, flour, pepper",nveg
US,Missouri,Missouri,Chocolate Pecan Pie III,https://www.allrecipes.com/recipe/12577/chocolate-pecan-pie-iii/,4.7,90.0,30.0,60.0,"This pie is thick, gooey and full of pecans with just a hint of chocolate. The unsweetened cocoa powder makes the subtle difference.","['0.5 cup margarine, melted', '1 cup light corn syrup', '1 cup white sugar', '0.25 cup unsweetened cocoa powder', '1 teaspoon vanilla extract', '0.25 teaspoon salt', '4 eggs', '1 cup chopped pecans', '1 recipe pastry for a 9 inch single crust pie']","['Preheat oven to 325 degrees F (165 degrees C).', 'In a heavy saucepan combine melted margarine, corn syrup, white sugar and cocoa. Cook over low heat, stirring constantly, until sugar dissolves. Add vanilla, salt and eggs, stirring well. Stir in 1/2 cup pecans. Mix well.', 'Pour filling into unbaked pastry shell and top with remaining 1/2 cup pecans. Bake at 325 degrees F(165 degrees C) for 55 minutes. Let cool and serve.']",8,254,564.0,71.0,93.0,3.0,6.0,6.0,382.0,37.0,31.0,"['eggs', 'syrup', 'pie', 'crust', 'salt', 'pastry', 'sugar', 'margarine', 'extract', 'pecans', 'cocoa', 'corn', 'vanilla']",eggs,,"pie, syrup, crust, salt, pastry, sugar, margarine, extract, pecans, cocoa, corn, vanilla",nveg
US,Missouri,Missouri,Al's Sufferin' Succotash,https://www.allrecipes.com/recipe/41184/als-sufferin-succotash/,4.4,25.0,5.0,20.0,"Frozen lima beans, corn, and green chile peppers cook up quickly for an easy and tasty side dish.","['1 (16 ounce) package frozen Fordhook lima beans, thawed', '1 cup water', '1 (16 ounce) can whole kernel corn, drained', '1 (4 ounce) can chopped green chile peppers', '1 teaspoon salt', '2 tablespoons white sugar', '1 tablespoon butter']","['In a large pot, bring the water to a boil. Add lima beans, salt and sugar. Cook over medium-low heat for 15 minutes. Add the corn and green chilies, cover, and continue cooking until the beans are tender, about 5 more minutes. Drain and serve immediately. Top with butter if desired.']",8,40,133.0,26.0,4.0,4.0,5.0,1.0,665.0,6.0,2.0,"['butter', 'kernel', 'fordhook', 'salt', 'peppers', 'sugar', 'lima', 'beans', 'water', 'chile', 'corn']",,butter,"kernel, fordhook, salt, peppers, sugar, lima, beans, water, chile, corn",veg
US,Missouri,Missouri,Decadent Ozark Peach Turnovers,https://www.allrecipes.com/recipe/254384/decadent-ozark-peach-turnovers/,4.8,55.0,20.0,35.0,"Fresh peaches wrapped in crescent roll dough are doused with butter, sugar, and citrus soda and baked into these juicy, decadent turnovers.","['3 large peaches, peeled and pitted', '2 (8 ounce) cans refrigerated crescent rolls', '1 cup butter', '1.5 cups white sugar', '1 teaspoon vanilla extract', '0.5 teaspoon salt', '0.5 (12 fluid ounce) can or bottle caffeinated citrus-flavored soda (such as Mountain Dew®)', '1 pinch ground cinnamon']","['Preheat oven to 350 degrees F (175 degrees C).', 'Cut peaches into 16 crescent-shaped slices.', 'Unroll crescent roll dough on a flat work surface and separate into 16 triangles. Place a peach slice at the base of each triangle and roll up to enclose in the dough. Arrange turnovers in a baking pan.', 'Melt butter in a small saucepan over medium-low heat. Whisk in sugar, vanilla extract, and salt. Pour evenly over the turnovers in the baking pan. Pour citrus-flavored soda over the turnovers. Sprinkle cinnamon on top.', 'Bake in the preheated oven until turnovers are golden brown and liquid is bubbling, 30 to 40 minutes.']",16,11,296.0,33.0,31.0,0.0,2.0,9.0,377.0,24.0,18.0,"['butter', 'peaches', 'dew', 'salt', 'cinnamon', 'sugar', 'rolls', 'soda', 'crescent', 'fluid', 'ground', 'extract', 'mountain', 'vanilla']",,butter,"peaches, dew, salt, cinnamon, sugar, rolls, soda, crescent, fluid, ground, extract, mountain, vanilla",veg
